"ikhtiar,hadap,kemarau,gelar,minta,hujan"
"panas,bikin,manfaat,cahaya,matahari,asak,nyata,matang"
"tewas"
"nilai,menang"
"mahal,hilang,edar"
"siasat,hadap,mahal"
"temu,tewas"
"serah,uang,ketua"
"periksa,kait,peras,pimpin,peran"
"usul"
"pilih,sepakat,indra,damping"
"periksa,metro,saksi,duga,peras,pimpin,peras"
"fakta"
"pernah,temu"
"saksi,duga,peras,pimpin"
"periksa,metro,kait,kasus,duga,pimpin,peras"
"tewas,lompat,buka"
"relawan,juang,menang,dukung"
"aman,intensif,koordinasi"
"gera,pangan,murah,bagi,gratis"
"mahal"
"dagang,pakai,tuju,tutup"
"teman,temu,pimpin,bantah,serah,uang"
"bakar,belum,padam"
"pernah,ketua,bantah,tan"
"pernah,temu,ketua,tan,bantah,serah,uang"
"buka,kait,kasus,duga,peras,pimpin,hadap"
"gaet,pan,gelar,pesta"
"sepi,klub,patungan"
"kasus,panggil,metro,jaya"
"periksa,metro,kasus,peras,pimpin"
"periksa,saksi,kasus,peras"
"layan,gratis,kendali,tumbuh,duduk"
"periksa,kait,kasus,ketua"
"kemarau,rawan,bakar,jual,apar,naik"
"lopor,damping"
"kendali,laju,tumbuh,duduk,gratis"
"tulis,komitmen,anti,korupsi,pecah,rekor"
"berkah,panas,jual,dingin,laris"
"darurat,kering,januari"
"tuju,gelar,festival,kreasi,bahan,pokok"
"suhu,panas,siang,waspada,papar,sinar"
"panas,terik,prediksi,indeks,ekstrem,bagi,besar,wilayah"
"keluh,suhu,panas,musim,hujan,turun"
"rekap,hasil,menang,dewa,tekuk"
"hasil,sore,kalah,persis,solo,tahan,imbang"
"bakar,kali,landa,zona,aktif"
"ternak,tolak,relokasi"
"bakar,berat,terjun"
"zona,aktif,bakar"
"seru,versus"
"unjung,lampau,target"
"sosialisasi,damping"
"jelang,versus,saling,sikut,poin"
"luang,ternak,itik"
"libat,celaka,mud,adu,mulut"
"kemarau,rajin,rogok,kocek"
"berkah,kemarau,bagi,jual"
"sukses"
"laku,tangkap,operasi,sikat"
"awat,restorasi,koleksi,rusak"
"suhu,panas"
"naik,tembus"
"mahal,telur,mulai,turun"
"prakira,cerah,awan,hujan,ringan"
"dampak,panas,serang,diare"
"keluarga,brigadir,akan,kirim,ham"
"narkoba"
"perang,rundung,ajak,kreatif,karya"
"suhu,panas,sakit,diare,tingkat"
"panas,pakai,payung,putih"
"bagi,andang,obesitas,harus,tingkat"
"pesona,produk,lestari,budaya"
"tari,sufi,riah,maulid,nabi"
"pamer,produk,unggul,seni,budaya,tradisional"
"belanja,dana,miliar"
"pecah,rekor,tanam,toga,tanam"
"kalah,skor"
"kendara,tumpuk,celaka"
"kendara,libat,celaka,ungar,periksa,bus"
"versus"
"ramal,september,cerah,suhu,udara"
"kasus,netralitas,kena,sanksi,moral,pecat"
"menang,akan"
"kolonel,resmi,jabat"
"mahal,naik"
"stabil,perintah,gelar,murah"
"kemarau,gelar,salat,mohon,hujan"
"turun,siap,anggar,miliar"
"operasi,sikat,aman,laku"
"temu,salur,buang,jenazah,ambang,labuh"
"bacok,guru,bantu,keluarga,jual"
"sosok,mayat,pria,misterius,labuh,tanjung,emas,temu"
"sosok,mayat,pria,tanpa,identitas,apung,labuh,tanjung,emas"
"siap,aman,gelar,simulasi"
"bantu,perintah,belum,normal"
"borong"
"pamer,sehat,suguh,aneka,layan,fasilitas,sehat"
"nal,senam,tera,olah,raga,usia"
"tinjau,tinggi"
"edukasi,sehat,gigi,bagi,sikat,pasta,gigi,gratis"
"temu,tinggi"
"simulasi,tanggap,darurat,unjuk"
"celaka,maut,sangka"
"bacok,guru,semester"
"partai,buruh,belum,dukung"
"maulid,nabi,dongeng,islami"
"beda,lari"
"target,menang,saksi"
"respon"
"dekat,logistik,mulai,siap"
"genjot,terima,sosialisasi,layan"
"faktor,wilayah,geografis,guru,rela,jemput"
"kompas,gelar,lari,desember,catat,tanggal"
"hasil,versus,imbang,super,henti,rekor,menang"
"celaka,gelar,olah,korban,awat,intensif"
"kronologi,celaka,duga,rem,blong,labuh,lampung"
"saksi,korban,selamat,celaka,tabrak,kendara"
"celaka,maut,tabrak,motor"
"korban,celaka,tewas,luka,berat,luka,ringan"
"kronologi,lengkap,celaka,rem,duga,blong,mud,aman"
"tabrak,motor"
"kondisi,kini,celaka,maut"
"saksi,celaka,keras"
"saksi,celaka,tabrak,belas,kendara,duga,rem,blong"
"celaka,tewas"
"celaka,maut,tabrak,motor"
"bakar,ledak"
"bakar,tutup,akses,masuk,sampah"
"bakar,usaha,api"
"rekap,hasil,september,kalah,salip"
"bakar,terjun"
"versus,bangkit,menang"
"tangki,siaga,asap"
"tambang,ilegal,marak,harus,legalitas"
"tabrak,pejal,kaki,motor"
"minta,jaga,netralitas"
"tanpa,piala,bayar"
"jelang,piala,gelar,seleksi"
"kondisi,kini,bakar"
"jaga,tangkal,radikalisme"
"bakar,api,nyala,sisi,utara"
"bakar,legit,banget"
"limut,asap,bau,sengat"
"bakar,padam"
"mahal,dampak,terima,bantu,pangan"
"gelontor,dagang,ecer,stok"
"libur,efek,asap,bakar"
"hewan,ular,rabies,suntik,vaksin"
"spesialis,urologi,gelar,bakti,sosial"
"aksi,tanam,bersih,bersih"
"bakar,padam,aktivitas,normal,mulai,terima,sampah"
"bakar,padam,upaya,dingin"
"bakar,lari"
"kiai,gadungan,duga,perkosa,pop"
"galang,dana,peduli,korban,gempa"
"pertama,kali,gelar,pamer"
"bagi,ilmu,arsitektur,pamer,karya"
"berkah,kemarau,dagang,layang,layang,raup,untung"
"salur,tangki,dampak,kering"
"lurah"
"guru,hapus,rias,wajah"
"naik,alih,medium"
"tirta,ajak,bijak,bersih"
"murid,harap,baik"
"curi,kotak,amal,masjid,joli,amuk"
"nyata,enak,banget,resep,puluh"
"persis,solo,versus,mulai,bukti"
"bu,kuliner,legendaris"
"guru,rela,jemput,tidak,putus"
"salur,bantu"
"generasi,harus,waspada,ancam,pecah,bangsa"
"festival,layak,taraf"
"mahal,alih,medium"
"mahal,bantu"
"aniaya,unjung"
"depresi,pria,nekat"
"kena,razia,siswi,pasrah,hapus,rias,wajah,guru"
"saksi,periksa,duga,ketua,indra,aniaya"
"rugi,puluh,miliar,rokok,ilegal,musnah"
"balas"
"awas,persen,wilayah,kering,ekstrem"
"dagang,layang,layang,raup,untung,musim,kemarau,jual,lembar"
"program,peduli,budaya,distribusi,murid"
"cipta,becak,listrik,ramah,lingkung,ku,tanpa,mud"
"apresiasi,peduli,peduli,bincang"
"nekat,kurir,narkoba"
"naik"
"kemarau,akhir"
"omzet,kena,pajak"
"tampil,karya,desain,digital"
"pianis,unjuk,gigi,piano,klasik"
"emas,dukung"
"riah,sakit,pakai,kostum,karnaval"
"korban,perkosa,pulih"
"joli,curi,kotak,amal,bangun,masjid,rekam"
"ketua,batas,minimal,usia,tunggu,putus"
"raih,layak"
"tampil,hut"
"kontes,lidi,adu,indah,adu,kuat"
"energi,tekan,polusi,udara"
"daftar,daftar,stasiun,wajah"
"cetak,jiwa,kampus,harus"
"nikmat,karya,seni,sensasi,pikir"
"pondok,gadungan,perkosa"
"sawah,gersang,tani,alih,tanam,semangka,jagung"
"kirim,latih,asi"
"duga,aniaya,ancam,ketua,indra,copot"
"duga,aniaya,ketua,partai,indra,copot,jabat"
"copot,ketua,indra,buntut,duga"
"ancam,ketua,indra,copot"
"duga,indra"
"spesial,hut,baca,berita,kakek,seniman,patung,gulai"
"kering,siap,tangki,kapasitas,liter"
"tekan,angka,satelit,buka"
"curi,kamera,awas"
"duga,leceh,tidak,izin"
"peduli,budaya,bagi,bagi"
"naik,belum,pengaruh,jual,non,subsidi"
"fakultas,temu,tinggal,kontra"
"selidik,kasus,baco"
"selidik,kasus,baco"
"peduli,budaya,donasi,ajar"
"hasil,sidang,tanggal,agustus,september,kena,denda"
"pamit"
"aksi,curi,rekam,tinggal"
"racik,edar,kosmetik,ilegal,tangkap"
"momen,haru,istri,pamit"
"leleh"
"gadis,belia,tegal,sakit,kulit,langka,butuh,bantu"
"humas,bekal,ilmu,humas"
"humas,reputasi,percaya"
"lelah,jijik,bersih,bersih"
"apresiasi"
"dukung,debat,buka"
"jaga,jelang,politik,gelar"
"gaung,damai"
"nikmat,karya,seni,progresif,sudut"
"rajin,unggul"
"kemarau,ganggu"
"anggur,didik,ikan,program,merdeka"
"hadir,acara,damai"
"hadir,jaga,damai,hindar"
"ajak,sih,sampah"
"hasil,versus,naik,besar"
"lepas,republik,harap"
"versus"
"rajin,batik,batik"
"terima,beasiswa,gratis"
"beda,bijak,tidak,wajib"
"cemburu,tega,aniaya,tusuk"
"cemburu,suami,nekat,aniaya,istri,tewas"
"palu,bantu"
"resmi,kapal,api"
"belum,terima,ganti"
"pamer,puji"
"puji,inisiasi,alas"
"gratis,rintis"
"keren,rawat,budaya,pamer,keris"
"kampus,debat,kampanye,kampus,larang"
"naik,gelontor"
"naik"
"kapal,api,resmi"
"cari,bibit,basket,laga"
"hadir"
"tengkar,suami,duga,aniaya,istri,tewas"
"bunga,cantik,riah,merdeka,festival"
"seru,libat,perempuan"
"jelang,versus,panggil"
"bek,wahyu,panggil,kuat"
"cekcok,suami,tega,aniaya,istri,tewas"
"bagi,laku,dongkrak,usaha"
"parade,hias,tabur,bunga,merdeka,festival"
"layak"
"dukung,bawa,arus,pecah"
"pidato,hadap,seruduk,hambat,maju"
"konsolidasi,menang,pecah,belah"
"konsolidasi,menang,seruduk,hambat,maju"
"budiman,sudah,selesai,urus"
"hasil,sore,tuan,tahan,imbang,puncak"
"budaya,ramai"
"rukun,politik"
"bersih,camat"
"strategi,jaga,kandang,banteng"
"dorong,optimal"
"tampil,aneka,budaya,produk"
"raih,menang,persik,manfaat,absen"
"pamer,produk"
"ajar,riah,merdeka"
"edukasi,sehat,paguyuban,gelar"
"bekal,fakultas,hukum"
"kumpul,koin,miskin"
"krisis,bersih,salur,bantu,bersih,dampak"
"temu,tewas"
"seru,estafet,tangkap,mata,tutup"
"aman,tani,basmi,hama,tikus"
"meja,momen,teman"
"optimis,investasi,naik"
"dagang,dorong,saing"
"rakit,jual,senjata,api,ilegal"
"duduk,meja,jamu,makam"
"rusuh,laga,versus"
"hut,gelar,tari,caci"
"kandang,banteng,tanpa,bala"
"bantu,miskin"
"delegasi,hadir"
"inovasi,bangun,didik,ramah,lingkung"
"target,belum"
"lempar,relawan"
"target"
"hasil,bandung,kalah"
"versus,bandung"
"tani,gotong,tangkap,tikus,sawah"
"cegah,tindak,jahat,luncur,aplikasi"
"nyata,tukang,servis,modifikasi,senjata,api,duga,teroris,de"
"jelang,lawan,bandung,gelar,latih,evaluasi"
"budiman,relawan,kandang,banteng"
"baju,adat"
"mohon,maaf,makam,pahlawan"
"ajak,tekan,angka,luncur,program"
"pimpin,upacara,hut,pamit"
"serah,remisi,titip,narapidana"
"hut,luncur"
"puluh,lansia,upacara,hut"
"pimpin,upacara,hut,pamit"
"pimpin,upacara,hut,pamit"
"khas,tumbuh,rukun,kompak"
"pukau,nyanyi,simfoni,istana"
"hut,merdeka,karaoke,tutup"
"nekat,curi,kotak,amal,masjid,pria,hajar,massa"
"dorong,maju,latih"
"sambut,ekonomi"
"junjung,tinggi,netralitas,siap,hadap"
"vakum,sukses,gelar,voli"
"merah,putih,kawasan,sejarah"
"perwira,raih,gelar"
"tumbuh,rukun,kompak"
"waris,keris"
"bangga,tampil,istana,lepas"
"hasil,sore,menang,telak,dewa"
"voli,lurah,ajang,bibit"
"dewa,versus"
"borong,medali,emas"
"nikmat,lobster,rawa,bakar,rawa,pening"
"dorong,mode,pagelaran,busana"
"si,cantik,anggrek,buru,minat,tanam,hias"
"cipta,inovasi,angkut"
"tanding,ekshibisi,juara,olahraga,provinsi"
"hulu,ruang,hotel,hutan,penuh,karya,seni"
"inovasi,cipta,angkut"
"tertib"
"serah"
"kunjung,silaturahmi"
"layan,paspor,merdeka,serbu"
"sambut,hut,adu,kreativitas,mural"
"kalah"
"kantong,identitas,laku,baco,tewas"
"nol,integrasi,sigap,pelita"
"apresiasi,kerja,turun"
"kalah,tindak"
"hadir,serah,hebat"
"prakira,bandung,urut"
"rem,blong,lingkar,kendal"
"kering"
"lestari,seni,wayang,film"
"olak,lupa"
"hasil,versus,maulana,laskar,petik,angka"
"umat,sempurna,dewi,welas,asih"
"rebut,medali"
"versus"
"integrasi,sigap,pelita,tekan,angka"
"harap,ganti,baik"
"guru,honorer,adu"
"rusa,bakar,pancasila"
"nikmat,soto,sawah,organik,murah,sehat"
"hebat,ubah,hobi,taekwondo,medali"
"daya,tangga,latih,tata,rias"
"larang,golput"
"akan,laku,erata,saraf,fasilitas"
"selebaran,imbau,hati,hati"
"kreatif,inovatif,terima,punakawan"
"sosialisasi,pedoman,tata,naskah,adil,tinggi"
"gol,tunggal,tunduk,bawa,kudeta"
"tren,positif,cepat,puas"
"fasilitas,bus,wisata,murah,lumpia"
"versus"
"telur,angsur,turun"
"rotasi,jabat,kompetensi"
"cegah,edar,narkoba,sasar,karaoke"
"tindak,baliho,spanduk"
"kemarau,kasus,bakar,tingkat"
"prakira,bandung,agustus"
"dagang,bendera,musim,mulai,jamur"
"lawan,sewu"
"sehat,murah,riah,nikmat,soto,bahan,organik,mulai"
"mutasi"
"rotasi,jabat,kompetensi"
"dagang,bendera,riah,hut"
"perempuan,temu,tewas"
"narkoba,aman"
"kendara,rampas,serah,tugas,cari"
"buka,daftar"
"jurnal,hukum,raih,indeks"
"stok,pasok,pangkal,aman,lancar"
"klaim,stok,aman"
"usaha,imbau"
"prakira,bandung,agustus"
"perempuan,temu,tewas"
"bawang,putih,tinggi,konsumen,pilih,ecer"
"kuat,tahan,pangan,siap,hektar,lahan"
"cegah,banjir,ajak,sih,banjir,kanal,barat"
"gagal,edar"
"retas,laku,tangkap"
"gelar,simulasi,antisipasi,aksi,anarkis"
"bersih,bersih,banjir,kanal,barat"
"gelar,diskusi,mediasi,elektronik,akademisi,universitas,agustus"
"perempuan,temu,tewas,temu,luka,lebam,darah"
"olah,sampah,plastik,daur"
"asyura,momentum,yatim"
"tani,ajak,tani,irit,pupuk,kimia"
"daur,sampah,plastik,mudah,kumpul,sampah"
"raup,rupiah,hias"
"bau,busuk"
"hadap,tan,kuat,pangan"
"seru,ajar,luk,batu,sungai"
"kasus,keras,seksual,laku"
"motor,tewas,tabrak,jatuh"
"kronologi,bunuh,taksi,korban,istri,hamil"
"hasil,sidang,juli,denda"
"uji,cegah,massal"
"ajak,ajar,cinta,produk"
"doa,bunuh"
"korban,duga,nama,sertifikat,rentenir"
"kaget,sertifikat,jamin,sudah,nama"
"bakar,tewas,duga,bakar,barang"
"versus,target,menang,tanpa,pilar"
"resah,sertifikat,dadak,agun"
"tangki,celaka,maut,sangka"
"marak,celaka,imbau,taat,atur,kendara"
"kecewa,nama,coret,nasional"
"rekonstruksi,kasus,tewas,taksi"
"pengaruh,stabil"
"angsur,turun,potong,mahal"
"saling,sindir,status,tewas,tusuk"
"gelar,rekonstruksi,bunuh,taksi,korban,hadir"
"sertifikat,jamin,duga,agun,rentenir"
"sukses,raih,hias"
"tangki,sangka,celaka,ancam,penjara"
"laku,bunuh,taksi,tangkap"
"celaka,maut,sangka"
"bisnis,hias,sukses,raup,untung"
"guru,tinggi,harus,adaptasi,era,disrupsi"
"minta,siap"
"lantik,jaga,integritas"
"kronologi,tangkap,laku,bunuh,taksi"
"ternak,pakan,naik,imbang,jual,naik"
"kejat,selamat,miliar,uang"
"api,tidak,resmi,rambu"
"pasang,rambu,larang"
"kisah,sukses,pria,raup,rupiah,budi,daya"
"lantik"
"beber,kronologi,bunuh,taksi"
"laku,bunuh,taksi,adik,ayah,penjara"
"laku,bunuh,taksi,tangkap"
"jalur,mandiri,reguler,tahap,buka,besok,simak,daftar"
"ajar,desa,luk,batu,sungai"
"jual,perabot,keliling,temu,tinggal"
"curi,koper,stasiun,laku,jual,koper"
"raih,layak,utama"
"forum,nasional,momentum,bangkit"
"rekam,tewas,taksi"
"geger,temu,taksi,tewas,duga,korban,ampo"
"aksi,heroik,asisten,celaka,maut,pop"
"upaya,risiko,celaka,baik,api,bidang"
"pimpin,langsung,lantik"
"nasional,amin,cegah,tindak,kriminal,keras"
"bunuh,taksi,korban,kabur,sungkur"
"komentar,sorot,pidato,debat,haris"
"celaka,versus,trailer,selidik"
"tewas,luka,luka"
"puncak,nasional,dengar,hak"
"hidup,kenang,koleksi,antik"
"periksa,periksa,lokasi"
"celaka,aju,tuntut"
"adil,bantu,kasus,umpuk"
"dengar,hak"
"tabrak,mogok,rel,medan,magnet"
"raih,layak,utama"
"jadwal,ekspres,rute,juli"
"bentuk,investigasi,kasus,tabrak,api"
"tabrak,api,periksa"
"tuan,forum,nasional"
"selamat,tumpang,tabrak,maut,saksi"
"cari,tabrak,terjun"
"hut,koperasi,dorong,kembang,koperasi"
"jaga,tabrak"
"asisten,selamat,ajaib,tuhan"
"hasil,investigasi,api,tabrak,nyata,human,panik"
"hasil,tanding,versus,imbang,menang"
"saksi,selamat,tumpang,tabrak,maut"
"dagang,dampak,mahal"
"pacu,karya,pamer,inovasi,biologi"
"ledak,tabrak,api,cepat"
"periksa,tugas,palang,pintu"
"aksi,heroik,selamat,tumpang"
"kuat,jembatan,celaka,cepat,api,batas"
"versus"
"versus,target,tuan,menang,tanpa,bobol"
"api,periksa,sidik"
"periksa,akan,periksa,kondisi,lokasi"
"tabrak,bantah,kabur,salah,cepat"
"akan,tuntut,bukti,salah,celaka"
"tabrak,api,transportasi,jalur"
"selamat,tumpang,celaka,budi,tuai"
"akan,tuntut,usaha,ekspedisi,libat,celaka"
"seleksi,mandiri,tahap,sore,hasil"
"tuntut,imbas"
"bukti,salah,celaka,akan,tuntut"
"buka,rancang,kendara,besar,bodi,rendah"
"apresiasi,aksi,heroik,selamat,tumpang,belum,celaka"
"saksi,kronologi,tabrak,jaga,palang,pintu"
"sosok,budi,selamat,tumpang,celaka,sorot"
"celaka,trailer,periksa"
"usut,api,abrak,trailer"
"ekspresi,kreativitas,pamer,seni"
"tradisi,unik,cuci,kuda,lumping,sambut"
"tabrak,periksa,jaga,layak"
"celaka,gunung,es,api"
"aksi,heroik,selamat,tumpang,tabrak,tuai,puji"
"celaka,tabrak,gunung,es,api"
"upaya,selamat,tumpang,aksi,heroik,puji"
"aksi,heroik,selamat,tumpang,tabrak,tuai,puji"
"tabrak,serah"
"kronologi,celaka,api,tabrak,rekam"
"minta,tolong,belum,tabrak"
"rawan,mogok,jenis,libat,celaka,api,larang,rel"
"prakira,bagi,cerah,awan,efek,bikin,khawatir"
"jalur,rel,api,sudah,insiden,tabrak"
"laku,tebang,hijau,waduk,tangkap"
"tabrak,api,serah"
"jalur,hulu,uju,sudah,cepat,batas"
"bantah,kondisi,kini,tabrak"
"tabrak,lambat"
"cepat,batas,jembatan,celaka,tabrak"
"kabur,takut,tabrak,periksa"
"dampak,api,tabrak,api,lambat"
"kaca,celaka,api,kendara,mogok,rel,sinau"
"rekam,kronologi,celaka,api,tabrak"
"jalur,sudah,buka,celaka,api,cepat,batas"
"dampak,tabrak"
"mud,trailer,tabrak,api,serah"
"miris,bayi,usia,jual,bayar"
"api,lambat,celaka"
"duga,sangkut,belum,tabrak"
"aktif,cegah,terima"
"jalur,sudah"
"pangan,naik,dagang,jerit"
"kabur,takut,tabrak"
"rekam,minta,tolong,belum,tabrak"
"celaka,jalur,sudah,cepat,batas"
"ledak,tabrak"
"kronologi,celaka,tabrak,minta,tolong,tugas"
"andal,harus,absen,cedera"
"lokomotif,selamat,tabrak"
"imbas,tabrak,trailer,telat,kompensasi,tumpang"
"tumpang,lompat,tabrak"
"atur,bidang,sanksi,pidana,bagi,langgar"
"api,tabrak,trailer,jalur,buka,harus,lambat"
"tumpang,api,tabrak,bentur,keras,asa"
"kondisi,kini,tabrak,lokasi"
"pantau,evakuasi,tabrak,harap,jembatan,rel,fungsi,normal"
"mogok,rel,belum,tabrak"
"duga,mati,belum,tabrak,minta,tolong"
"tabrak,kepala,badan,ringsek,hasil,pindah"
"deret,fakta,celaka"
"momen,selamat,tabrak"
"ganggu,celaka,tabrak"
"minta,tolong,belum,tabrak"
"tabrak,selamat"
"kondisi,kini,api,tabrak"
"ledak,tabrak,kobar,api,hasil,padam"
"celaka,mogok,korban,luka,lompat,gerbong"
"api,ledak,tabrak,hasil,padam"
"tabrak,ledak,kobar,api"
"ngeri,tabrak,trailer,api,bumbung,tinggi"
"laga"
"perintah,minta,tuntas,kasus,langgar,ham"
"jelang,cegah,ancam"
"swasta,keluh,ambah"
"raih,cegah"
"serap,aspirasi"
"serap,aspirasi,perempuan,jelajah,sapa"
"maut,izin"
"giur,hasil"
"terima,berkas,baik"
"kontraktor,baja,sukses,mukim"
"tinggal,langgar,izin,panitia"
"versus,mulai,aroma,balas,tuan"
"jelang,laga,latih,khusus,antisipasi,serang"
"lirik,koleksi,antik,barkas,tabung,buat"
"minta,maaf,keluarga,korban,tinggal"
"selidik,acara,izin"
"kering,salur,bersih"
"rahayu"
"terima,adu"
"usul,ambah,sudah,surati"
"bahas,sinergi,hadap"
"tembus,eksportir,wajib,serah,dokumen"
"ajak,cinta,lingkung,pol,pimpin,bersih,bersih"
"taman,akan,cantik"
"serang,ancam,cedera,pinggang"
"tinggal,tonton"
"wanita,nekat,curi,boks,susu,formula,minimarket"
"waspada,potensi,banjir,pesisir"
"tonton,tinggal"
"wanita,nekat,curi,boks,susu,formula,minimarket"
"kronologi,tinggal"
"sensasi,hasil,petik"
"harus,sportif,juara"
"bantu,korban,bakar,gotong"
"fakta,fakta,bocah,bakar,teman,kronologi,korban,trauma"
"tinggal,duga"
"terima,adu,langgar"
"tinggal,dunia,kronologi"
"musim,haji,konsumsi,naik"
"jual,dampak,kasus,antraks"
"korban,coba,curi,keras"
"rahayu,tekan,bangun"
"operasi,patuh"
"balai,karantina,tani,cegah,virus,antraks"
"pria,tewas,keroyok,buru,laku"
"rampok"
"waspada,bagi,besar,laku,kasus"
"cocok,data,konsumen,tahap"
"cegah,antraks,siap,vaksin"
"jual,naik,kali,lipat"
"korban,coba,ampo,laku"
"kronologi,coba,aksi,ampo"
"kronologi,lengkap,korban,ampo"
"lawan,laku,ampo"
"korban,ampo,laku"
"ampo,laku,ancam,penjara"
"rekor,miniatur,lokomotif,uap"
"ajar,jual,ajar,tingkat"
"terima,kampus,gengsi"
"tani,bantu,benih,padi"
"korban,ampo"
"korban,coba,ampo,duel,laku"
"sita,versus"
"terima,kampus,tarik,geografi,idola,kamil"
"contoh,suplai,bersih"
"suplai,bersih,kelola,baik,pilih,contoh"
"pria,tewas,bacok,lokalisasi"
"protes,bekas,gali,akan"
"zonasi,daftar"
"kerja,bangun,alir,listrik,tubuh,bakar"
"latih,harus,baik"
"didik,dukung,ambah"
"ambles,tembus,langkah,aman"
"jalur,tembus,ambles,laku"
"durasi,daftar,murid"
"gelar"
"rambah,mukim"
"tutup,dasar,wilayah,lansia"
"aksi,maling,rekam"
"seru,keras,parade"
"bangun,tembus,ambles"
"ambles,tembus,baik"
"aspek,pidana"
"duga,rem,blong,guling,muat,tumpah"
"hujan,lebat,guyur,bagi,besar,besar,juli"
"sakit,hati,cinta,putus,sebar,video,syur,mantan,kasih"
"telur,tembus"
"cabai,sayur,naik,erong"
"toleransi,uji,praktik,teori"
"wanita,unjuk,kendara,motor,gede"
"maling,bobol,rental,rekam"
"cabai,wortel,naik"
"pukau,cantik,atraksi,motor,gede"
"kampanye,anti,narkoba"
"riah,artis"
"populasi,jarah"
"proses,buat,kini,mudah"
"kaum,fakir,miskin,antre,kurban,masjid,agung"
"versus,bhayangkara,presisi"
